COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE
Ringed Kingfisher	-18.136	-64.828	10/14/06
Ringed Kingfisher	-18.1349221	-64.8282623	8/28/08
Ringed Kingfisher	-18.1349221	-64.8282623	8/28/08
Ringed Kingfisher	-17.035029	-64.871069	9/2/09
Ringed Kingfisher	-18.1151818	-64.7705197	3/5/10
Ringed Kingfisher	-18.1151818	-64.7705197	5/18/10
Ringed Kingfisher	-18.1151818	-64.7705197	8/8/10
Ringed Kingfisher	-18.1151818	-64.7705197	8/9/10
Ringed Kingfisher	-18.1349221	-64.8282623	8/12/10
Ringed Kingfisher	-18.07656	-64.72662	9/5/10
Ringed Kingfisher	-18.07656	-64.72662	9/5/10
Ringed Kingfisher	-16.9732252	-65.4271595	8/15/12
Ringed Kingfisher	-14.4293604	-67.9188538	8/29/01
Ringed Kingfisher	-16.4025885	-67.6413978	12/28/07
Ringed Kingfisher	-16.4025885	-67.6413978	12/28/07
Ringed Kingfisher	-16.4025885	-67.6413978	12/28/07
Ringed Kingfisher	-14.4293604	-67.9188538	6/23/09
Ringed Kingfisher	-13.040014	-68.8415337	6/15/10
Ringed Kingfisher	-12.678012	-68.677367	6/23/10
Ringed Kingfisher	-14.50161	-67.80484	7/1/10
Ringed Kingfisher	-14.50161	-67.80484	7/4/10
Ringed Kingfisher	-14.4293604	-67.9188538	1/7/12
Ringed Kingfisher	-16.1861564	-67.7323437	11/14/12
Ringed Kingfisher	-11.0503862	-69.2385864	8/26/08
Ringed Kingfisher	-10.9587195	-69.220047	8/23/08
Ringed Kingfisher	-17.2772187	-60.6280518	11/9/87
Ringed Kingfisher	-14.6154782	-61.1907578	7/26/90
Ringed Kingfisher	-19.8785362	-62.7942775	9/5/90
Ringed Kingfisher	-19.1365667	-63.2815067	9/21/90
Ringed Kingfisher	-13.5559	-61.0096	8/3/92
Ringed Kingfisher	-13.5559	-61.0096	8/5/92
Ringed Kingfisher	-13.5559	-61.0096	8/4/92
Ringed Kingfisher	-17.458889	-63.659167	11/22/92
Ringed Kingfisher	-17.278471	-63.1074704	12/4/93
Ringed Kingfisher	-14.266667	-60.866667	8/1/94
Ringed Kingfisher	-14.266667	-60.866667	8/4/94
Ringed Kingfisher	-14.266667	-60.866667	8/2/94
Ringed Kingfisher	-14.266667	-60.866667	8/5/94
Ringed Kingfisher	-14.266667	-60.866667	8/3/94
Ringed Kingfisher	-14.542545	-61.190758	8/8/94
Ringed Kingfisher	-14.542545	-61.190758	8/11/94
Ringed Kingfisher	-17.732	-63.596	9/24/96
Ringed Kingfisher	-13.5170866	-61.3563251	7/14/00
Ringed Kingfisher	-18.1192605	-63.6333275	8/29/02
Ringed Kingfisher	-17.7664245	-63.0697632	9/19/04
Ringed Kingfisher	-14.8094047	-61.1746216	10/10/04
Ringed Kingfisher	-14.9235544	-61.072998	10/1/04
Ringed Kingfisher	-14.8810872	-61.0839844	2/17/05
Ringed Kingfisher	-18.1197602	-63.6474305	12/17/06
Ringed Kingfisher	-17.91	-63.1656	9/2/07
Ringed Kingfisher	-17.2220692	-62.9028525	12/5/07
Ringed Kingfisher	-17.2220692	-62.9028525	12/5/07
Ringed Kingfisher	-17.8799215	-63.2031441	12/1/07
Ringed Kingfisher	-17.9483605	-63.1605721	8/23/08
Ringed Kingfisher	-18.1471568	-64.3167114	8/28/08
Ringed Kingfisher	-17.9122251	-63.1654429	9/12/08
Ringed Kingfisher	-17.2601707	-58.6381531	10/20/08
Ringed Kingfisher	-17.9232094	-63.1597137	10/2/08
Ringed Kingfisher	-17.2313166	-58.5269165	10/14/08
Ringed Kingfisher	-16.6046099	-59.4717407	10/21/08
Ringed Kingfisher	-17.907529	-63.4329987	11/15/08
Ringed Kingfisher	-17.9122251	-63.1654429	12/15/08
Ringed Kingfisher	-17.9122251	-63.1654429	12/23/08
Ringed Kingfisher	-17.7735355	-63.0686581	2/25/09
Ringed Kingfisher	-19.0048343	-57.7130699	8/10/09
Ringed Kingfisher	-17.9122251	-63.1654429	9/26/09
Ringed Kingfisher	-17.261539	-63.05736	9/2/09
Ringed Kingfisher	-16.1131113	-61.98349	10/10/09
Ringed Kingfisher	-17.4288602	-64.1326046	6/1/10
Ringed Kingfisher	-17.0080374	-63.7306595	7/26/10
Ringed Kingfisher	-17.4288602	-64.1326046	8/22/10
Ringed Kingfisher	-17.7741894	-63.0704498	9/8/10
Ringed Kingfisher	-18.10468	-63.59875	9/2/10
Ringed Kingfisher	-18.12184	-63.65005	9/4/10
Ringed Kingfisher	-18.10468	-63.59875	9/2/10
Ringed Kingfisher	-18.12184	-63.65005	9/4/10
Ringed Kingfisher	-17.7664245	-63.0697632	12/18/10
Ringed Kingfisher	-18.462751	-59.4971459	12/22/10
Ringed Kingfisher	-17.7664245	-63.0697632	12/31/10
Ringed Kingfisher	-17.8311014	-63.1938092	12/26/10
Ringed Kingfisher	-17.7664245	-63.0697632	12/12/10
Ringed Kingfisher	-17.3865116	-63.5067265	1/2/11
Ringed Kingfisher	-17.0390278	-58.5364167	4/17/11
Ringed Kingfisher	-17.207913	-62.8713226	10/9/11
Ringed Kingfisher	-18.3515528	-63.9738611	12/17/11
Ringed Kingfisher	-18.9687498	-57.7872841	1/16/12
Ringed Kingfisher	-18.0659093	-63.6196854	1/10/12
Ringed Kingfisher	-18.3515528	-63.9738611	2/20/12
Ringed Kingfisher	-18.3515528	-63.9738611	2/19/12
Ringed Kingfisher	-18.9719637	-57.7887993	6/1/12
Ringed Kingfisher	-19.1297608	-57.8336029	6/2/12
Ringed Kingfisher	-17.7741894	-63.0704498	9/9/12
Ringed Kingfisher	-20.0135928	-63.5574791	9/12/12
Ringed Kingfisher	-16.8302981	-64.7938656	10/27/12
Ringed Kingfisher	-17.7664245	-63.0697632	11/20/12
Ringed Kingfisher	-22.4282095	-64.4894407	7/15/03
Ringed Kingfisher	-21.610834	-62.5204468	1/9/08
Ringed Kingfisher	-10.4386891	-69.6881676	7/7/08
Ringed Kingfisher	-10.4980828	-36.3901458	1/4/03
Ringed Kingfisher	-4.3228256	-70.2089464	8/20/73
Ringed Kingfisher	-4.289973	-70.0939435	8/19/73
Ringed Kingfisher	-4.3228256	-70.2089464	7/21/75
Ringed Kingfisher	-4.3228256	-70.2089464	7/22/75
Ringed Kingfisher	-4.3228256	-70.2089464	7/21/75
Ringed Kingfisher	-4.3228256	-70.2089464	7/22/75
Ringed Kingfisher	-4.3228256	-70.2089464	7/22/75
Ringed Kingfisher	-4.3228256	-70.2089464	7/21/75
Ringed Kingfisher	-4.3085748	-70.277731	8/29/79
Ringed Kingfisher	-3.2995663	-60.3341675	11/11/95
Ringed Kingfisher	-2.7613053	-60.6321716	11/14/95
Ringed Kingfisher	-3.2529507	-59.9606323	11/13/95
Ringed Kingfisher	-3.3040221	-60.5047989	11/12/95
Ringed Kingfisher	-2.9018958	-60.5648804	10/25/98
Ringed Kingfisher	-2.9018958	-60.5648804	7/20/02
Ringed Kingfisher	-3.0381758	-59.7404691	9/7/02
Ringed Kingfisher	-2.9018958	-60.5648804	11/1/02
Ringed Kingfisher	-2.0264043	-60.0867176	4/6/03
Ringed Kingfisher	-3.1878601	-59.9775317	7/5/03
Ringed Kingfisher	-3.2529507	-59.9606323	8/17/03
Ringed Kingfisher	-3.2529507	-59.9606323	8/20/03
Ringed Kingfisher	-3.2529507	-59.9606323	8/17/03
Ringed Kingfisher	-3.2339645	-59.8647502	8/20/03
Ringed Kingfisher	-2.9018958	-60.5648804	8/18/03
Ringed Kingfisher	-3.0443469	-58.5752316	4/24/04
Ringed Kingfisher	-3.2131887	-60.0327301	6/11/04
Ringed Kingfisher	-3.2529507	-59.9606323	6/30/04
Ringed Kingfisher	-3.2131887	-60.0327301	6/11/04
Ringed Kingfisher	-3.0926934	-60.4416275	7/30/05
Ringed Kingfisher	-2.2571064	-61.3449097	12/11/05
Ringed Kingfisher	-3.1619071	-59.7405624	3/25/06
Ringed Kingfisher	-1.5900669	-61.5151978	5/7/06
Ringed Kingfisher	-1.7295804	-61.4094543	5/5/06
Ringed Kingfisher	-1.9442069	-61.2268066	2/28/07
Ringed Kingfisher	-2.3046761	-60.9851074	2/26/07
Ringed Kingfisher	-2.6687123	-60.803833	2/25/07
Ringed Kingfisher	-2.1308563	-61.1004639	2/27/07
Ringed Kingfisher	-2.6687123	-60.803833	2/25/07
Ringed Kingfisher	-2.1308563	-61.1004639	2/27/07
Ringed Kingfisher	-2.3046761	-60.9851074	2/26/07
Ringed Kingfisher	-1.9442069	-61.2268066	2/28/07
Ringed Kingfisher	-2.0528024	-60.0255203	2/5/07
Ringed Kingfisher	-2.0528024	-60.0255203	2/5/07
Ringed Kingfisher	-2.0896855	-61.2213135	3/1/07
Ringed Kingfisher	-2.6412759	-60.9466553	3/2/07
Ringed Kingfisher	-3.176853	-59.9654388	3/3/07
Ringed Kingfisher	-3.176853	-59.9654388	3/3/07
Ringed Kingfisher	-2.6412759	-60.9466553	3/2/07
Ringed Kingfisher	-2.0528024	-60.0255203	3/4/07
Ringed Kingfisher	-2.0528024	-60.0255203	3/4/07
Ringed Kingfisher	-3.0819008	-59.965376	6/6/07
Ringed Kingfisher	-3.1019496	-60.4342006	8/8/07
Ringed Kingfisher	-3.0623909	-60.108166	8/19/08
Ringed Kingfisher	-3.092368	-60.4409556	10/4/08
Ringed Kingfisher	-2.454	-56.451	4/8/09
Ringed Kingfisher	-3.139	-60.027	4/9/09
Ringed Kingfisher	-2.454	-56.451	4/12/09
Ringed Kingfisher	-3.139	-60.027	4/9/09
Ringed Kingfisher	-2.454	-56.451	4/8/09
Ringed Kingfisher	-2.454	-56.451	4/12/09
Ringed Kingfisher	-2.734557	-60.7543945	7/16/09
Ringed Kingfisher	-3.3729128	-60.209198	7/22/09
Ringed Kingfisher	-3.4208936	-60.2466202	7/22/09
Ringed Kingfisher	-3.1178692	-60.4935765	11/17/09
Ringed Kingfisher	-3.1178692	-60.4935765	11/16/09
Ringed Kingfisher	-3.4428268	-60.2994919	12/28/09
Ringed Kingfisher	-3.5312401	-61.555624	12/31/09
Ringed Kingfisher	-2.7488889	-60.4305556	1/4/10
Ringed Kingfisher	-2.5250078	-60.7922459	1/5/10
Ringed Kingfisher	-3.64	-62.3872222	1/2/10
Ringed Kingfisher	-3.64	-62.3872222	1/1/10
Ringed Kingfisher	-3.9080989	-63.4130859	2/21/10
Ringed Kingfisher	-3.9080989	-63.4130859	2/22/10
Ringed Kingfisher	-3.9080989	-63.4130859	2/25/10
Ringed Kingfisher	-2.602864	-60.8807373	3/18/10
Ringed Kingfisher	-7.5028351	-58.2579231	7/20/11
Ringed Kingfisher	-7.457732	-58.230114	7/23/11
Ringed Kingfisher	-7.5184925	-58.2510567	7/22/11
Ringed Kingfisher	-1.9208113	-61.457262	9/18/11
Ringed Kingfisher	-3.0182183	-60.3915024	9/16/11
Ringed Kingfisher	-3.220667	-59.0208721	9/21/11
Ringed Kingfisher	-3.1724881	-59.8984909	9/21/11
Ringed Kingfisher	-1.9073748	-61.4630556	9/20/11
Ringed Kingfisher	-2.4195801	-60.9804726	9/20/11
Ringed Kingfisher	-3.2529507	-59.9606323	9/21/11
Ringed Kingfisher	-3.1701799	-59.4779205	9/22/11
Ringed Kingfisher	-2.7615225	-60.6937981	9/17/11
Ringed Kingfisher	-3.3906089	-58.8175392	9/22/11
Ringed Kingfisher	-3.5655066	-60.0210571	9/14/11
Ringed Kingfisher	-3.5655066	-60.0210571	9/16/11
Ringed Kingfisher	-3.514733	-60.006559	7/16/12
Ringed Kingfisher	-3.482475	-59.990959	7/15/12
Ringed Kingfisher	-3.522347	-60.005882	7/15/12
Ringed Kingfisher	-3.171908	-59.890717	7/17/12
Ringed Kingfisher	-3.517026	-60.007591	7/16/12
Ringed Kingfisher	-3.450312	-60.004836	7/17/12
Ringed Kingfisher	-3.522318	-60.01291	7/17/12
Ringed Kingfisher	-3.196298	-59.869205	7/15/12
