#COMMON NAME,#LATITUDE,#LONGITUDE,#OBSERVATION DATE,#DAY SERIAL NUMBER
penguin,-62.9627151,-60.6280518,1/23/12,23
penguin,-59.8006343,-60.7543945,1/21/12,21
penguin,-62.3413231,-59.8164368,3/23/12,84
penguin,-59.9604215,-62.4514424,3/27/12,88
penguin,-51.6963952,-57.8375244,1/16/08,16
penguin,-54.5051371,-36.6998291,1/24/98,24
penguin,-54.5051371,-36.6998291,1/25/98,25
penguin,-54.5051371,-36.6998291,1/26/98,26
penguin,-54.6267203,-35.9455333,3/5/00,66
penguin,-54.2808138,-36.5081502,3/6/00,67
penguin,-54.5752458,-35.9143066,1/25/03,25
penguin,-53.9366878,-37.902832,1/23/03,23
penguin,-54.2620158,-36.4746094,1/24/03,24
penguin,-54.213861,-36.3867188,3/21/05,82
penguin,-54.213861,-36.3867188,3/19/05,80
penguin,-54.0269445,-37.9680204,11/27/05,332
penguin,-54.4325117,-36.1711121,1/16/06,16
penguin,-54.017778,-37.976111,2/13/06,43
penguin,-54.412537,-36.086071,1/16/07,16
penguin,-54.78138,-35.80834,1/16/09,16
penguin,-54.78138,-35.80834,1/16/09,16
penguin,-54.78138,-35.80834,1/16/09,16
penguin,-54.78138,-35.80834,1/16/09,16
penguin,-54.0567279,-37.3179474,1/14/10,14
penguin,-54.0567279,-37.3179474,1/14/10,14
penguin,-54.0567279,-37.3179474,1/14/10,14
penguin,-54.0105933,-37.9811096,1/12/10,12
penguin,-53.330873,-45.703125,1/12/10,12
penguin,-54.0593879,-37.265625,1/14/10,14
penguin,-54.0105933,-37.9811096,1/12/10,12
penguin,-54.0105933,-37.9811096,1/12/10,12
penguin,-54.8162146,-35.9976945,11/10/11,315
penguin,-54.1989798,-36.900883,3/29/12,90
penguin,-45.7288,170.6002,11/27/92,332
penguin,-57.2790428,-42.0556641,1/26/03,26
penguin,-57.2790428,-42.0556641,1/27/03,27
penguin,-57.610107,-40.5175781,3/18/05,79
penguin,-38.2070421,-57.2953343,2/26/05,56
penguin,-42.2940757,-64.0494786,5/27/74,149
penguin,-42.2940757,-64.0494786,5/25/74,147
penguin,-42.2940757,-64.0494786,5/26/74,148
penguin,-42.5357086,-65.2864464,4/12/86,103
penguin,-44.0484242,-65.2227402,11/12/92,317
penguin,-44.9725707,-65.9179688,12/5/92,340
penguin,-44.0484242,-65.2227402,1/12/93,12
penguin,-42.1151231,-63.765149,1/13/93,13
penguin,-44.9725707,-65.9179688,11/23/93,328
penguin,-44.0452408,-65.2207403,2/22/94,52
penguin,-44.0484242,-65.2227402,11/5/94,310
penguin,-42.46298,-64.104538,11/3/94,308
penguin,-44.0484242,-65.2227402,11/13/98,318
penguin,-44.0452408,-65.2207403,11/25/98,330
penguin,-42.46298,-64.104538,11/15/99,320
penguin,-42.7656349,-63.6380053,12/5/99,340
penguin,-44.0484242,-65.2227402,11/22/02,327
penguin,-44.0484242,-65.2227402,12/1/02,336
penguin,-42.46298,-64.104538,2/5/03,35
penguin,-42.46298,-64.104538,9/7/04,251
penguin,-42.428525,-64.515667,10/23/04,297
penguin,-42.5,-63.933333,2/16/05,46
penguin,-45.1152075,-66.5452194,3/14/05,75
penguin,-42.46298,-64.104538,3/19/05,80
penguin,-42.4338661,-63.6214828,11/1/05,306
penguin,-44.0484242,-65.2227402,11/2/05,307
penguin,-42.46298,-64.104538,12/27/05,362
penguin,-42.46298,-64.104538,12/28/05,363
penguin,-42.46298,-64.104538,12/27/05,362
penguin,-44.0452408,-65.2207403,11/21/06,326
penguin,-42.3695027,-63.6405029,11/5/06,310
penguin,-44.0484242,-65.2227402,1/16/08,16
penguin,-42.0982224,-63.7976074,2/13/08,43
penguin,-42.3046667,-63.6711667,9/30/08,274
penguin,-42.4281667,-64.516,9/30/08,274
penguin,-42.6186667,-64.259,9/30/08,274
penguin,-42.4281667,-64.516,9/29/08,273
penguin,-42.0900701,-63.7536621,3/27/09,88
penguin,-42.0900701,-63.7536621,3/26/09,87
penguin,-42.573531,-64.2790103,11/1/09,306
penguin,-44.9725707,-65.9179688,12/31/09,366
penguin,-44.9725707,-65.9179688,12/31/09,366
penguin,-44.0484242,-65.2227402,1/4/10,4
penguin,-42.7656349,-63.6380053,11/16/10,321
penguin,-42.4653699,-63.6113334,11/16/10,321
penguin,-42.8251364,-64.8855972,11/17/10,322
penguin,-42.428525,-64.515667,11/16/10,321
penguin,-42.46298,-64.104538,10/4/11,278
penguin,-54.8718657,-67.9504395,11/8/92,313
penguin,-54.8718657,-67.9504395,12/1/92,336
penguin,-54.803891,-68.2445862,1/3/93,3
penguin,-54.8951699,-67.5171661,11/7/94,312
penguin,-54.8718657,-67.9504395,11/30/95,335
penguin,-54.8441992,-68.4020805,1/20/98,20
penguin,-55.0369945,-65.694809,2/20/98,50
penguin,-54.834551,-68.1578064,2/20/98,50
penguin,-54.8951699,-67.5171661,11/19/98,324
penguin,-54.8441992,-68.4020805,11/19/99,324
penguin,-54.8951699,-67.5171661,1/1/02,1
penguin,-54.795935,-68.288269,2/16/03,46
penguin,-54.835144,-68.469758,2/9/03,39
penguin,-54.8951699,-67.5171661,2/2/03,32
penguin,-54.8595437,-68.540079,12/21/03,356
penguin,-54.8718657,-67.9504395,11/30/04,335
penguin,-54.3597572,-67.6586151,11/18/04,323
penguin,-54.8441992,-68.4020805,1/31/05,31
penguin,-54.8951699,-67.5171661,1/26/05,26
penguin,-54.8951699,-67.5171661,1/18/05,18
penguin,-54.8109743,-68.321228,2/2/05,32
penguin,-54.8109743,-68.321228,3/12/05,73
penguin,-54.8951699,-67.5171661,3/11/05,72
