COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE	SERIAL DATE	1=Blue-and-yellow // 2=Blue-headed // 3=
macaw	17.2	-89.6	2/10/91	40	11
macaw	17.2	-89.6	2/11/91	41	11
macaw	9.8	-84.6	2/14/91	44	11
macaw	8.9	-68.1	2/16/91	46	11
macaw	9.8	-84.6	3/6/91	67	11
macaw	9.8	-84.6	3/7/91	68	11
macaw	23.1	-99.1	3/12/91	73	7
macaw	10.0	-84.2	3/31/91	92	11
macaw	17.2	-89.6	4/2/91	93	11
macaw	-0.5	-76.4	5/15/91	137	1
macaw	-0.5	-76.4	5/15/91	137	9
macaw	-0.5	-76.4	5/15/91	137	11
macaw	-0.5	-76.4	5/16/91	138	4
macaw	8.7	-83.7	6/20/91	172	11
macaw	9.8	-84.6	7/12/91	195	11
macaw	23.1	-99.2	8/7/91	220	7
macaw	23.1	-99.2	8/7/91	220	7
macaw	-3.4	-72.8	8/15/91	228	1
macaw	-3.4	-72.8	8/15/91	228	4
macaw	-3.4	-72.8	8/15/91	228	11
macaw	-0.5	-76.4	11/2/91	307	4
macaw	-0.5	-76.4	11/2/91	307	9
macaw	-0.5	-76.4	11/3/91	308	1
macaw	-0.5	-76.4	11/3/91	308	9
macaw	-0.5	-76.4	11/4/91	309	9
macaw	-0.5	-76.4	11/5/91	310	1
macaw	-0.5	-76.4	11/5/91	310	11
macaw	7.4	-69.3	11/6/91	311	4
macaw	7.8	-68.3	11/8/91	313	4
macaw	7.4	-69.3	11/8/91	313	4
macaw	7.8	-68.3	11/9/91	314	4
macaw	7.8	-68.3	11/9/91	314	11
macaw	7.4	-69.3	11/9/91	314	11
macaw	5.6	-61.5	11/16/91	321	8
macaw	5.6	-61.5	11/18/91	323	8
macaw	9.8	-84.6	12/17/91	352	11
macaw	9.8	-84.6	12/20/91	355	11
macaw	5.2	-67.8	12/24/91	359	8
macaw	9.8	-84.6	12/27/91	362	11
macaw	22.7	-98.9	12/28/91	363	7
